area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
39159,0,10,70,0,2022,A,,1518,33295,2360635857,348930572,6117096,1363,70900,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,68,4.7,594,1.8,237309609,11.2,12739377,3.8,-397830,-6.1,114,9.1,5968,9.2
39159,1,10,71,0,2022,A,,11,74,4510622,0,0,1178,61230,,1.37,0.12,0.08,0.0,0.0,0.65,0.65,,0,0.0,-5,-6.3,-145624,-3.1,0,0.0,0,0.0,45,4.0,2290,3.9
39159,1,102,72,0,2022,A,,11,74,4510622,0,0,1178,61230,,1.37,0.12,0.08,0.0,0.0,0.65,0.65,,0,0.0,-5,-6.3,-145624,-3.1,0,0.0,0,0.0,45,4.0,2290,3.9
39159,1,1021,73,0,2022,A,,7,62,3765621,0,0,1166,60654,,1.75,0.42,0.36,0.0,0.0,0.86,0.86,,0,0.0,-4,-6.1,43063,1.2,0,0.0,0,0.0,83,7.7,4323,7.7
39159,1,1028,73,0,2022,A,,4,12,745001,0,0,1237,64317,,1.21,0.03,0.02,0.0,0.0,0.62,0.62,,0,0.0,-1,-7.7,-188687,-20.2,0,0.0,0,0.0,-153,-11.0,-7969,-11.0
39159,1,48-49,74,0,2022,A,,7,62,3765621,0,0,1166,60654,,1.81,0.45,0.39,0.0,0.0,0.85,0.85,,0,0.0,-4,-6.1,43063,1.2,0,0.0,0,0.0,83,7.7,4323,7.7
39159,1,491,75,0,2022,A,,7,62,3765621,0,0,1166,60654,,1.82,0.46,0.4,0.0,0.0,0.87,0.87,,0,0.0,-4,-6.1,43063,1.2,0,0.0,0,0.0,83,7.7,4323,7.7
39159,1,4911,76,0,2022,A,,7,62,3765621,0,0,1166,60654,,1.82,0.46,0.4,0.0,0.0,0.87,0.87,,0,0.0,-4,-6.1,43063,1.2,0,0.0,0,0.0,83,7.7,4323,7.7
39159,1,49111,77,0,2022,A,,7,62,3765621,0,0,1166,60654,,1.82,0.46,0.4,0.0,0.0,0.87,0.87,,0,0.0,-4,-6.1,43063,1.2,0,0.0,0,0.0,83,7.7,4323,7.7
39159,1,491110,78,0,2022,A,,7,62,3765621,0,0,1166,60654,,1.82,0.46,0.4,0.0,0.0,0.87,0.87,,0,0.0,-4,-6.1,43063,1.2,0,0.0,0,0.0,83,7.7,4323,7.7
39159,1,92,74,0,2022,A,,4,12,745001,0,0,1237,64317,,1.21,0.03,0.02,0.0,0.0,0.62,0.62,,0,0.0,-1,-7.7,-188687,-20.2,0,0.0,0,0.0,-153,-11.0,-7969,-11.0
39159,1,923,75,0,2022,A,,1,1,110247,0,0,2120,110247,,2.91,0.02,0.02,0.0,0.0,1.02,1.02,,0,0.0,0,0.0,2935,2.7,0,0.0,0,0.0,56,2.7,2935,2.7
39159,1,9231,76,0,2022,A,,1,1,110247,0,0,2120,110247,,2.91,0.02,0.02,0.0,0.0,1.02,1.02,,0,0.0,0,0.0,2935,2.7,0,0.0,0,0.0,56,2.7,2935,2.7
39159,1,92312,77,0,2022,A,,1,1,110247,0,0,2120,110247,,11.53,0.07,0.06,0.0,0.0,0.85,0.85,,0,0.0,0,0.0,2935,2.7,0,0.0,0,0.0,56,2.7,2935,2.7
39159,1,923120,78,0,2022,A,,1,1,110247,0,0,2120,110247,,11.53,0.07,0.06,0.0,0.0,0.85,0.85,,0,0.0,0,0.0,2935,2.7,0,0.0,0,0.0,56,2.7,2935,2.7
39159,1,924,75,0,2022,A,,1,2,182653,0,0,1686,87673,,1.46,0.09,0.09,0.0,0.0,0.91,0.91,,0,0.0,-1,-33.3,-103476,-36.2,0,0.0,0,0.0,-148,-8.1,-7703,-8.1
39159,1,9241,76,0,2022,A,,1,2,182653,0,0,1686,87673,,1.46,0.09,0.09,0.0,0.0,0.91,0.91,,0,0.0,-1,-33.3,-103476,-36.2,0,0.0,0,0.0,-148,-8.1,-7703,-8.1
39159,1,92412,77,0,2022,A,,1,2,182653,0,0,1686,87673,,1.55,0.11,0.12,0.0,0.0,0.97,0.97,,0,0.0,-1,-33.3,-103476,-36.2,0,0.0,0,0.0,-148,-8.1,-7703,-8.1
39159,1,924120,78,0,2022,A,,1,2,182653,0,0,1686,87673,,1.55,0.11,0.12,0.0,0.0,0.97,0.97,,0,0.0,-1,-33.3,-103476,-36.2,0,0.0,0,0.0,-148,-8.1,-7703,-8.1
39159,1,926,75,0,2022,A,,2,9,452101,0,0,1023,53188,,1.58,0.17,0.08,0.0,0.0,0.5,0.5,,0,0.0,0,0.0,-88146,-16.3,0,0.0,0,0.0,-142,-12.2,-7400,-12.2
39159,1,9261,76,0,2022,A,,2,9,452101,0,0,1023,53188,,1.58,0.17,0.08,0.0,0.0,0.5,0.5,,0,0.0,0,0.0,-88146,-16.3,0,0.0,0,0.0,-142,-12.2,-7400,-12.2
39159,1,92611,77,0,2022,A,,1,0,0,0,0,0,0,,1.78,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0,0.0,-18785,-100.0,0,0.0,0,0.0,-867,-100.0,-45084,-100.0
39159,1,926110,78,0,2022,A,,1,0,0,0,0,0,0,,1.78,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0,0.0,-18785,-100.0,0,0.0,0,0.0,-867,-100.0,-45084,-100.0
39159,1,92614,77,0,2022,A,,1,9,452101,0,0,1023,53188,,2.42,0.92,0.51,0.0,0.0,0.59,0.59,,0,0.0,0,0.0,-69361,-13.3,0,0.0,0,0.0,-157,-13.3,-8160,-13.3
39159,1,926140,78,0,2022,A,,1,9,452101,0,0,1023,53188,,2.42,0.92,0.51,0.0,0.0,0.59,0.59,,0,0.0,0,0.0,-69361,-13.3,0,0.0,0,0.0,-157,-13.3,-8160,-13.3
39159,2,10,71,0,2022,A,,14,513,42087793,0,0,1579,82096,,1.49,0.51,0.57,0.0,0.0,1.11,1.11,,-1,-6.7,-23,-4.3,3718779,9.7,0,0.0,0,0.0,201,14.6,10456,14.6
39159,2,102,72,0,2022,A,,14,513,42087793,0,0,1579,82096,,1.54,0.52,0.57,0.0,0.0,1.11,1.11,,-1,-6.7,-23,-4.3,3718779,9.7,0,0.0,0,0.0,201,14.6,10456,14.6
39159,2,1024,73,0,2022,A,,1,8,688644,0,0,1673,86987,,6.45,0.99,1.07,0.0,0.0,1.1,1.1,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,1025,73,0,2022,A,,1,3,1253998,0,0,8268,429942,,0.51,0.01,0.03,0.0,0.0,5.79,5.79,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,1028,73,0,2022,A,,12,502,40145151,0,0,1538,79997,,1.8,1.29,1.4,0.0,0.0,1.09,1.09,,-1,-7.7,-29,-5.5,2685517,7.2,0,0.0,0,0.0,181,13.3,9418,13.3
39159,2,54,74,0,2022,A,,1,8,688644,0,0,1673,86987,,12.2,1.41,1.41,0.0,0.0,1.01,1.01,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,541,75,0,2022,A,,1,8,688644,0,0,1673,86987,,12.2,1.41,1.41,0.0,0.0,1.01,1.01,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,5419,76,0,2022,A,,1,8,688644,0,0,1673,86987,,271.02,104.18,151.97,0.0,0.0,1.47,1.47,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,54194,77,0,2022,A,,1,8,688644,0,0,1673,86987,,583.73,133.02,206.49,0.0,0.0,1.57,1.57,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,541940,78,0,2022,A,,1,8,688644,0,0,1673,86987,,583.73,133.02,206.49,0.0,0.0,1.57,1.57,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,62,74,0,2022,A,,1,3,1253998,0,0,8268,429942,,1.11,0.02,0.12,0.0,0.0,5.61,5.61,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,621,75,0,2022,A,,1,3,1253998,0,0,8268,429942,,6.44,0.37,2.21,0.0,0.0,6.18,6.18,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,6211,76,0,2022,A,,1,3,1253998,0,0,8268,429942,,36.48,1.01,5.02,0.0,0.0,5.11,5.11,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,62111,77,0,2022,A,,1,3,1253998,0,0,8268,429942,,36.48,1.01,5.02,0.0,0.0,5.11,5.11,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,621111,78,0,2022,A,,1,3,1253998,0,0,8268,429942,N,37.02,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,92,74,0,2022,A,,12,502,40145151,0,0,1538,79997,,1.8,1.29,1.4,0.0,0.0,1.09,1.09,,-1,-7.7,-29,-5.5,2685517,7.2,0,0.0,0,0.0,181,13.3,9418,13.3
39159,2,922,75,0,2022,A,,4,457,37214857,0,0,1567,81478,,2.13,3.13,3.34,0.0,0.0,1.07,1.07,N,-1,-20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,9221,76,0,2022,A,,4,457,37214857,0,0,1567,81478,,2.13,3.13,3.34,0.0,0.0,1.07,1.07,N,-1,-20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,92211,77,0,2022,A,,1,4,375556,0,0,1806,93889,,1.9,0.18,0.23,0.0,0.0,1.23,1.23,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,922110,78,0,2022,A,,1,4,375556,0,0,1806,93889,,1.9,0.18,0.23,0.0,0.0,1.23,1.23,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,92212,77,0,2022,A,,1,19,1639172,0,0,1666,86652,,2.95,0.85,0.79,0.0,0.0,0.94,0.94,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,922120,78,0,2022,A,,1,19,1639172,0,0,1666,86652,,2.95,0.85,0.79,0.0,0.0,0.94,0.94,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,92214,77,0,2022,A,,2,434,35200129,0,0,1560,81137,,3.83,5.54,6.29,0.0,0.0,1.14,1.14,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,922140,78,0,2022,A,,2,434,35200129,0,0,1560,81137,,3.83,5.54,6.29,0.0,0.0,1.14,1.14,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,923,75,0,2022,A,,2,13,900134,0,0,1306,67935,,1.39,0.15,0.15,0.0,0.0,0.99,0.99,N,-1,-33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,9231,76,0,2022,A,,2,13,900134,0,0,1306,67935,,1.39,0.15,0.15,0.0,0.0,0.99,0.99,N,-1,-33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,92312,77,0,2022,A,,1,12,838076,0,0,1316,68414,,2.1,0.4,0.4,0.0,0.0,0.98,0.98,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,923120,78,0,2022,A,,1,12,838076,0,0,1316,68414,,2.1,0.4,0.4,0.0,0.0,0.98,0.98,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,92313,77,0,2022,A,,1,1,62058,0,0,1193,62058,,1.37,0.02,0.02,0.0,0.0,0.93,0.93,N,-1,-50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,923130,78,0,2022,A,,1,1,62058,0,0,1193,62058,,1.37,0.02,0.02,0.0,0.0,0.93,0.93,N,-1,-50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,924,75,0,2022,A,,1,3,277415,0,0,1778,92472,,1.08,0.09,0.13,0.0,0.0,1.36,1.36,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,9241,76,0,2022,A,,1,3,277415,0,0,1778,92472,,1.08,0.09,0.13,0.0,0.0,1.36,1.36,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39159,2,92412,77,0,2022,A,,1,3,277415,0,0,1778,92472,,1.32,0.13,0.2,0.0,0.0,1.51,1.51,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
